N,P,segment,memory,reaction_mean,retention_mean,retained_full,tail_time,output_dir
16,1,0,0,0.21021021021021022,8.008008008008009,True,8.0,outputs\20251222-142753-384229
16,2,0,0,0.22689356022689355,8.008008008008009,True,8.0,outputs\20251222-142755-543047
16,3,0,0,0.14681348014681347,8.008008008008009,True,8.0,outputs\20251222-142757-648042
16,4,0,0,0.19853186519853186,8.008008008008009,True,8.0,outputs\20251222-142759-791509
16,5,0,0,0.21187854521187854,8.008008008008009,True,8.0,outputs\20251222-142802-012095
16,6,0,0,0.23189856523189856,3.803803803803804,False,8.0,outputs\20251222-142804-167111
16,7,0,0,0.1718385051718385,3.965632298965632,False,8.0,outputs\20251222-142806-351413
16,8,0,0,0.19853186519853186,8.008008008008009,True,8.0,outputs\20251222-142808-801165
16,9,0,0,0.2552552552552553,4.476142809476143,False,8.0,outputs\20251222-142811-233898
16,10,0,0,0.18685352018685353,3.7837837837837838,False,8.0,outputs\20251222-142813-637164
24,1,0,0,0.17183850517183852,8.008008008008009,True,8.0,outputs\20251222-142816-055502
24,2,0,0,0.19352686019352686,8.008008008008009,True,8.0,outputs\20251222-142818-263914
24,3,0,0,0.20520520520520522,8.008008008008009,True,8.0,outputs\20251222-142820-494530
24,4,0,0,0.20353687020353686,8.008008008008009,True,8.0,outputs\20251222-142822-845041
24,5,0,0,0.19185852519185853,8.008008008008009,True,8.0,outputs\20251222-142825-135640
24,6,0,0,0.19686353019686353,4.77977977977978,False,8.0,outputs\20251222-142827-326672
24,7,0,0,0.17851184517851185,8.008008008008009,True,8.0,outputs\20251222-142829-606319
24,8,0,0,0.20687354020687354,6.306306306306307,False,8.0,outputs\20251222-142831-944268
24,9,0,0,0.1901901901901902,8.008008008008009,True,8.0,outputs\20251222-142834-239623
24,10,0,0,0.22022022022022023,6.027694361027694,False,8.0,outputs\20251222-142836-806458
32,1,0,0,0.1751751751751752,8.008008008008009,True,8.0,outputs\20251222-142839-289210
32,2,0,0,0.21187854521187854,8.008008008008009,True,8.0,outputs\20251222-142841-380203
32,3,0,0,0.22355689022355688,8.008008008008009,True,8.0,outputs\20251222-142843-584126
32,4,0,0,0.1951951951951952,8.008008008008009,True,8.0,outputs\20251222-142845-762331
32,5,0,0,0.21021021021021022,8.008008008008009,True,8.0,outputs\20251222-142847-927486
32,6,0,0,0.18351685018351685,8.008008008008009,True,8.0,outputs\20251222-142850-208025
32,7,0,0,0.1851851851851852,8.008008008008009,True,8.0,outputs\20251222-142852-565894
32,8,0,0,0.21521521521521522,8.008008008008009,True,8.0,outputs\20251222-142854-964683
32,9,0,0,0.22689356022689355,6.096096096096095,False,8.0,outputs\20251222-142857-395178
32,10,0,0,0.19853186519853186,8.008008008008009,True,8.0,outputs\20251222-142859-948526
40,1,0,0,0.20353687020353686,8.008008008008009,True,8.0,outputs\20251222-142902-493342
40,2,0,0,0.15849182515849183,8.008008008008009,True,8.0,outputs\20251222-142904-603163
40,3,0,0,0.23356690023356688,8.008008008008009,True,8.0,outputs\20251222-142906-740581
40,4,0,0,0.21688355021688355,8.008008008008009,True,8.0,outputs\20251222-142908-944536
40,5,0,0,0.18685352018685353,8.008008008008009,True,8.0,outputs\20251222-142911-137003
40,6,0,0,0.21855188521855187,8.008008008008009,True,8.0,outputs\20251222-142913-351751
40,7,0,0,0.19686353019686353,8.008008008008009,True,8.0,outputs\20251222-142915-725114
40,8,0,0,0.23356690023356688,8.008008008008009,True,8.0,outputs\20251222-142918-135778
40,9,0,0,0.17350684017350684,8.008008008008009,True,8.0,outputs\20251222-142920-496863
40,10,0,0,0.21354688021354687,8.008008008008009,True,8.0,outputs\20251222-142922-925178
48,1,0,0,0.20186853520186854,8.008008008008009,True,8.0,outputs\20251222-142925-395142
48,2,0,0,0.22355689022355688,8.008008008008009,True,8.0,outputs\20251222-142927-491407
48,3,0,0,0.21021021021021022,8.008008008008009,True,8.0,outputs\20251222-142929-600817
48,4,0,0,0.17684351017684352,8.008008008008009,True,8.0,outputs\20251222-142931-745372
48,5,0,0,0.23189856523189856,8.008008008008009,True,8.0,outputs\20251222-142933-998712
48,6,0,0,0.22689356022689355,8.008008008008009,True,8.0,outputs\20251222-142936-364312
48,7,0,0,0.21187854521187854,8.008008008008009,True,8.0,outputs\20251222-142938-780834
48,8,0,0,0.2002002002002002,8.008008008008009,True,8.0,outputs\20251222-142941-168147
48,9,0,0,0.21021021021021022,8.008008008008009,True,8.0,outputs\20251222-142943-724371
48,10,0,0,0.20854187520854187,8.008008008008009,True,8.0,outputs\20251222-142946-238561
56,1,0,0,0.21021021021021022,8.008008008008009,True,8.0,outputs\20251222-142948-755619
56,2,0,0,0.19686353019686353,8.008008008008009,True,8.0,outputs\20251222-142950-829010
56,3,0,0,0.21521521521521522,8.008008008008009,True,8.0,outputs\20251222-142952-985096
56,4,0,0,0.19352686019352686,8.008008008008009,True,8.0,outputs\20251222-142955-153837
56,5,0,0,0.18351685018351685,8.008008008008009,True,8.0,outputs\20251222-142957-388322
56,6,0,0,0.20854187520854187,8.008008008008009,True,8.0,outputs\20251222-142959-673311
56,7,0,0,0.21354688021354687,8.008008008008009,True,8.0,outputs\20251222-143002-083761
56,8,0,0,0.21354688021354687,8.008008008008009,True,8.0,outputs\20251222-143004-544038
56,9,0,0,0.21688355021688355,8.008008008008009,True,8.0,outputs\20251222-143007-078428
56,10,0,0,0.1851851851851852,8.008008008008009,True,8.0,outputs\20251222-143009-667304
64,1,0,0,0.1901901901901902,8.008008008008009,True,8.0,outputs\20251222-143012-311238
64,2,0,0,0.21021021021021022,8.008008008008009,True,8.0,outputs\20251222-143014-482902
64,3,0,0,0.21521521521521522,8.008008008008009,True,8.0,outputs\20251222-143016-782990
64,4,0,0,0.21187854521187854,8.008008008008009,True,8.0,outputs\20251222-143019-061643
64,5,0,0,0.18852185518852185,8.008008008008009,True,8.0,outputs\20251222-143021-407757
64,6,0,0,0.19352686019352686,8.008008008008009,True,8.0,outputs\20251222-143023-815616
64,7,0,0,0.21187854521187854,8.008008008008009,True,8.0,outputs\20251222-143026-249814
64,8,0,0,0.20353687020353686,8.008008008008009,True,8.0,outputs\20251222-143028-767437
64,9,0,0,0.20186853520186854,8.008008008008009,True,8.0,outputs\20251222-143031-393653
64,10,0,0,0.20520520520520522,8.008008008008009,True,8.0,outputs\20251222-143034-144551
