segment,memory,trial,reaction_time,retention_time
0,0,0,0.520086681113519,12.612102017002835
0,0,1,0.5300883480580096,11.261876979496583
0,0,2,0.9301550258376396,58.00966827804634
0,0,3,0.7501250208368062,36.906151025170864
0,0,4,0.5300883480580096,29.594932488748125
0,0,5,0.8001333555592599,10.101683613935656
0,0,6,0.4400733455575929,49.79829971661944
0,0,7,0.5700950158359727,58.00966827804634
0,0,8,0.6601100183363894,18.1630271711952
0,0,9,0.5300883480580096,16.55275879313219
0,0,10,0.6101016836139357,11.251875312552093
0,0,11,0.5000833472245374,40.26671111851975
0,0,12,1.2702117019503252,16.472745457576263
0,0,13,0.8501416902817136,28.19469911651942
0,0,14,0.8501416902817136,36.04600766794466
0,0,15,0.6501083513918987,54.959159859976666
0,0,16,0.3900650108351392,11.001833638939823
0,0,17,0.5700950158359727,11.601933655609269
0,0,18,0.5400900150025004,19.75329221536923
0,0,19,0.42007001166861146,27.544590765127523
0,0,20,0.3700616769461577,30.21503583930655
0,0,21,0.3700616769461577,58.00966827804634
0,0,22,0.5500916819469912,58.00966827804634
0,0,23,0.9401566927821304,46.927821303550594
0,0,24,0.4100683447241207,26.934489081513586
0,0,25,0.4700783463910652,18.183030505084183
0,0,26,0.7001166861143524,33.80563427237873
0,0,27,0.6701116852808802,58.00966827804634
0,0,28,0.49008168028004667,37.386231038506416
0,0,29,0.5300883480580096,20.623437239539925
0,0,30,0.4100683447241207,5.040840140023337
0,0,31,0.5100850141690282,44.58743123853976
0,0,32,0.6301050175029171,58.00966827804634
0,0,33,0.6401066844474079,13.61226871145191
0,0,34,0.6101016836139357,45.22753792298717
0,0,35,0.520086681113519,31.625270878479746
0,0,36,0.680113352225371,26.61443573928988
0,0,37,0.8601433572262044,50.708451408568095
0,0,38,0.42007001166861146,50.98849808301384
0,0,39,0.5300883480580096,47.61793632272045
0,0,40,0.9201533588931489,37.236206034339055
0,0,41,0.7001166861143524,15.962660443407236
0,0,42,0.4300716786131022,10.631771961993666
0,0,43,0.4400733455575929,49.16819469911652
0,0,44,0.6901150191698616,24.924154025670948
0,0,45,0.680113352225371,28.18469744957493
0,0,46,0.8001333555592599,10.331721953658944
0,0,47,0.48008001333555594,22.803800633438907
0,0,48,0.4700783463910652,58.00966827804634
0,0,49,0.5100850141690282,58.00966827804634
