segment,memory,trial,reaction_time,retention_time
0,0,0,0.9101516919486582,7.781296882813803
0,0,1,0.520086681113519,7.07117852975496
0,0,2,0.3400566761126855,6.791131855309218
0,0,3,0.3900650108351392,8.101350225037507
0,0,4,0.680113352225371,10.351725287547925
0,0,5,0.3500583430571762,6.991165194199033
0,0,6,0.31005167527921323,6.891148524754126
0,0,7,0.4100683447241207,10.081680280046674
0,0,8,0.4400733455575929,5.410901816969495
0,0,9,0.6401066844474079,11.391898649774962
0,0,10,0.520086681113519,10.741790298383064
0,0,11,0.7401233538923154,7.761293548924821
0,0,12,0.8501416902817136,9.48158026337723
0,0,13,0.5000833472245374,14.222370395065845
0,0,14,0.38006334389064844,8.451408568094683
0,0,15,0.6701116852808802,4.820803467244541
0,0,16,0.4100683447241207,17.042840473412237
0,0,17,0.48008001333555594,9.33155525920987
0,0,18,0.5300883480580096,9.931655275879313
0,0,19,0.6501083513918987,8.061343557259544
0,0,20,0.7301216869478246,7.091181863643941
0,0,21,0.4500750125020837,11.321886981163528
0,0,22,0.520086681113519,10.40173362227038
0,0,23,0.3400566761126855,6.241040173362228
0,0,24,0.42007001166861146,7.041173528921487
0,0,25,0.40006667777962995,8.641440240040007
0,0,26,0.6401066844474079,7.5812635439239875
0,0,27,0.42007001166861146,5.940990165027505
0,0,28,0.5400900150025004,6.761126854475746
0,0,29,0.21003500583430573,7.241206867811302
0,0,30,0.38006334389064844,5.080846807801301
0,0,31,0.5000833472245374,8.321386897816303
0,0,32,,0.0
0,0,33,1.2102017002833807,9.861643607267878
0,0,34,0.3300550091681947,8.261376896149358
0,0,35,0.4400733455575929,9.381563593932322
0,0,36,1.6602767127854643,3.2405400900150028
0,0,37,0.9001500250041674,9.521586931155193
0,0,38,0.360060010001667,7.981330221703618
0,0,39,0.5000833472245374,11.291881980330055
0,0,40,0.6601100183363894,6.441073512252042
0,0,41,0.7701283547257877,10.831805300883481
0,0,42,1.030171695282547,5.48091348558093
0,0,43,0.40006667777962995,8.721453575595932
0,0,44,0.42007001166861146,8.061343557259544
0,0,45,0.5600933488914819,7.2812135355892655
0,0,46,1.0701783630605102,4.980830138356393
0,0,47,0.3300550091681947,10.43173862310385
0,0,48,0.5100850141690282,7.091181863643941
0,0,49,0.6001000166694449,8.061343557259544
